Time;Speed;Voltage;Current;Distance;Altitude;Date;SpeedGPS;Latitude;Longitude;AccuracyPosition;BatteryPercentage;WrongCRCs;AssistLevel;OffRoadMode;ErrorCode;DisplayTemp;MotorTemp;
09:40:44.253;21.54;51.51;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:44.524;21.54;51.58;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:44.764;21.54;51.44;0.50;1.56;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:44.974;21.67;51.51;0.50;1.56;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:45.184;21.67;51.44;0.50;1.56;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:45.393;21.67;51.44;0.50;1.56;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:45.694;21.67;51.58;0.50;1.56;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:45.963;21.67;51.58;0.50;1.56;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:46.384;21.67;51.36;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:46.534;21.79;51.51;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:46.743;21.16;51.58;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:46.894;21.16;51.58;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:47.162;21.16;51.44;0.00;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:47.403;21.16;51.51;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:47.613;21.04;51.51;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:47.883;20.91;51.51;0.50;1.57;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:48.124;20.66;51.36;1.00;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:48.394;20.66;51.22;1.50;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:48.603;21.29;51.29;1.00;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:48.814;21.29;51.36;0.50;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:49.054;21.54;51.65;0.50;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:49.323;21.54;51.51;1.00;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:49.654;21.67;51.44;0.50;1.58;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:49.834;21.67;51.44;0.50;1.59;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:50.043;21.79;51.44;0.50;1.59;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:50.258;21.79;51.51;0.50;1.59;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:50.492;21.79;51.51;0.00;1.59;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
